employee_id,name,phone_number,job_role,location,salary,reports_to
98192,Patricia Lopez,755-848-2508,CEO,San Francisco,427368.43,
89170,Felicia James,515-876-8376,CFO,Remote,294107.9,98192
21049,Michael Watson,237-295-3348,COO,San Francisco,357110.49,98192
91570,Katherine Sullivan,585-498-4648,Vice President,San Francisco,259134.75,21049
31014,Christopher Payne,967-551-6554,Vice President,Austin,222822.68,21049
22634,Jason Campos,960-555-6604,Vice President,Remote,201585.36,89170
66235,Kimberly Hamilton,753-505-5738,Vice President,Austin,210561.93,89170
62451,Kevin Benitez,345-790-1273,Vice President,Remote,221495.39,89170
66382,Steven Scott,889-854-4258,Vice President,Remote,208543.07,89170
50056,Thomas Stevenson,269-384-4777,Vice President,New York,250008.31,21049
30196,Ricky Crawford,939-659-5789,Director,Remote,173791.28,91570
12870,Amanda Anderson,614-319-8326,Director,Chicago,177768.13,66382
43106,Peter Wallace,351-583-2248,Director,Chicago,168072.32,91570
42611,Cassandra Aguilar,331-477-9215,Director,Chicago,184286.64,91570
40982,James Wang,921-934-5070,Director,Austin,160195.34,22634
61258,Michelle Wilson,289-704-6086,Director,San Francisco,192909.49,22634
96914,Kevin Dixon,806-848-9178,Director,Chicago,158723.86,50056
12118,Emily Jones,400-531-9073,Director,Austin,163649.28,50056
36401,Andre Wright DVM,449-209-1682,Director,San Francisco,179194.58,91570
53703,Matthew Lutz,349-808-7417,Director,New York,189751.5,31014
17943,Gilbert Vazquez,328-810-1153,Director,Remote,158853.85,50056
73505,Stephen Gutierrez,965-525-9846,Director,San Francisco,201385.77,66235
39461,Daniel Rogers,690-595-4137,Director,New York,190232.36,66235
77257,Hannah Harris,604-933-6388,Director,Chicago,168789.77,50056
61772,Scott Kaufman,626-860-3250,Director,Chicago,171963.39,50056
36538,Betty Dougherty,691-631-1755,Director,Austin,173165.44,62451
90216,Richard Martin,222-769-5894,Director,Chicago,169752.19,22634
86103,Krista Huerta,521-357-9409,Director,San Francisco,199437.81,22634
98923,Ruth Myers,649-331-8116,Director,Remote,140129.48,91570
12804,Carrie Conrad,844-733-3277,Director,San Francisco,180153.11,31014
88222,Dr. Natalie Carr,820-872-8759,Director,Chicago,165477.8,22634
59541,Sarah Gregory,813-907-5792,Director,New York,199461.31,66382
15752,Kim Williams,627-714-7356,Director,San Francisco,186446.39,66382
99838,Benjamin Cohen,654-417-7070,Director,San Francisco,186986.63,31014
21080,Jennifer Reed,506-621-6950,Director,San Francisco,191934.68,62451
29704,William Booker,750-939-6416,Director,San Francisco,182753.07,31014
66564,David Franco,203-771-7012,Director,San Francisco,194971.39,89170
42604,Kathleen Davies,680-641-4171,Director,Chicago,166789.77,22634
58466,Matthew Hartman,207-560-6303,Director,New York,196563.93,89170
55954,Drew Jenkins,811-776-2524,Director,San Francisco,185982.17,50056
78922,Kevin Thomas,876-951-5129,Manager,Chicago,143169.31,77257
11325,Stacey Smith,949-541-7662,Manager,New York,148242.29,88222
15599,Christopher Sandoval,800-360-3858,Manager,San Francisco,157001.38,96914
78509,Alexandra King,905-853-4671,Manager,Austin,116314.91,86103
73031,Brian Lopez,450-366-2272,Manager,Chicago,133959.84,39461
26162,Lorraine Miles,235-215-1757,Manager,San Francisco,165546.47,88222
61175,Crystal Durham,495-316-4403,Manager,Austin,143318.0,88222
14030,Tammy Henry,224-894-9385,Manager,New York,133455.33,36401
11335,Douglas Flowers,316-688-5632,Manager,Remote,118210.04,30196
12325,Todd Johnson,533-211-6966,Manager,Remote,126286.7,29704
49847,Clayton Romero,407-530-2969,Manager,San Francisco,173437.67,96914
81416,Sally Powell,820-971-7644,Manager,Chicago,136641.98,21080
38603,Anthony Brown,780-837-7981,Manager,New York,147468.41,96914
59522,Christopher Smith,310-390-5210,Manager,New York,153605.26,21080
64654,Vernon Wright,232-535-1921,Manager,Remote,120212.81,73505
23215,Cynthia Greene,888-364-1387,Manager,Chicago,127262.44,73505
23076,Mark Davidson,391-883-6767,Manager,Remote,135125.42,36401
26360,Andrew Holmes,686-828-4758,Manager,New York,161475.28,12870
21937,Jonathan Knox,732-778-6343,Manager,Chicago,142665.43,90216
62672,Pamela Miller,200-340-2995,Manager,New York,137359.6,61258
76189,Christina Brown,307-615-8084,Manager,San Francisco,156559.34,61772
64580,David Gibson,880-467-7529,Manager,Austin,123033.84,36401
95870,Monique Bradley,233-336-9069,Manager,Austin,120999.01,15752
55048,Terry Stephens,680-908-8492,Manager,New York,144599.85,53703
59906,Stephanie Martin,384-510-9749,Manager,New York,147619.51,58466
54767,Edward Mueller,857-840-5246,Manager,Austin,146054.06,12804
96051,Michael Simpson,672-847-3076,Manager,Remote,135890.89,29704
69751,Kevin Frye,894-803-9042,Manager,Chicago,138893.19,88222
65047,Donna Stevens,678-911-4787,Manager,New York,143762.97,40982
66609,Craig Rodriguez,366-698-4296,Manager,New York,158899.48,12118
27429,Melinda Pratt,986-834-9777,Manager,New York,166125.52,61258
61653,Joseph Bradley,986-236-6932,Manager,New York,150751.76,36401
67419,Steven Wood,858-321-2570,Manager,New York,140016.94,15752
75081,Richard Grant,215-574-5441,Manager,Chicago,127617.19,12870
16837,Robert Daniel,867-517-3834,Manager,New York,149158.98,21080
30268,Justin Walters,368-514-7435,Manager,Remote,129280.35,29704
46670,Karla White,420-745-6073,Manager,Austin,145155.64,40982
13406,Janice Smith,775-553-6056,Manager,Chicago,159508.13,29704
39389,Mr. Stephen Wilson,269-903-2871,Manager,New York,161791.92,12118
41711,Adriana Wood,721-678-4698,Manager,Chicago,149502.14,42611
74827,Theresa Zimmerman,412-941-2044,Manager,San Francisco,152217.65,58466
34286,Eric Walker,343-982-4912,Manager,Remote,127620.05,29704
73529,Samantha Fowler,748-354-4951,Manager,Austin,126549.6,55954
98132,Amanda White,834-441-1217,Manager,Chicago,133343.76,29704
31028,Jon Sheppard,961-493-4441,Manager,San Francisco,161802.93,61772
26434,Andrea Kerr,249-372-7370,Manager,Austin,142027.92,36538
99361,Connor Smith,852-655-6858,Manager,San Francisco,161393.2,73505
54213,James Norman,360-296-5214,Manager,San Francisco,143486.2,40982
76917,Heidi Short,895-238-4399,Manager,New York,151296.5,88222
35065,Sherry Young,717-676-9381,Manager,San Francisco,149108.75,59541
35548,Amanda Welch,915-581-7830,Manager,Austin,138363.23,96914
26102,Felicia Patel PhD,329-954-8880,Manager,Austin,125833.51,61772
29074,Lindsay Duran,311-731-4623,Manager,San Francisco,156113.94,98923
54240,Anthony Baker,271-504-2929,Manager,Remote,106623.09,98923
68626,Jeff Johnston,797-853-1579,Manager,New York,160871.74,43106
58569,Robert Evans,678-666-3200,Manager,New York,154859.6,88222
33821,Amanda Graham,428-250-3270,Manager,New York,156809.77,29704
59119,Ms. Kelly Mccann,887-834-2292,Manager,Austin,132195.52,96914
81527,Catherine Mejia,680-894-2359,Manager,Austin,130946.42,59541
18804,Darlene Brown,542-730-9712,Manager,Remote,124898.09,86103
81677,Erica Henderson,773-331-3746,Manager,New York,145374.21,88222
95233,Mary Chavez,512-451-1341,Manager,Remote,115719.99,21080
66395,Fernando Boone,952-966-1280,Manager,New York,154128.01,59541
18893,Logan Gallegos,980-634-3911,Manager,Remote,115221.22,12118
22364,Raymond Kim,400-297-3218,Manager,Remote,132711.35,86103
22112,Mr. Mark Garcia,312-308-5236,Manager,Austin,142251.34,73505
88606,Andrew Reid,981-809-3707,Manager,New York,152469.99,36538
99539,Fernando Knight,488-297-8291,Manager,Austin,153236.9,12870
49941,Philip Burgess,935-973-9723,Manager,Austin,134108.33,86103
68254,Gary Gonzalez,983-743-4401,Manager,Chicago,161428.48,42604
72933,Terry Shelton,541-480-7727,Manager,New York,151860.92,86103
28655,Michael Patterson,507-384-9968,Manager,New York,141697.46,12870
88071,Joshua Hodge,522-919-2088,Manager,San Francisco,165788.38,39461
41622,Steven Baker,339-342-4151,Manager,Chicago,135716.9,12118
88220,Alejandra Hayes,386-645-9567,Manager,Chicago,130990.42,42611
71198,Michael Nicholson,423-299-1866,Manager,Remote,118445.38,77257
38995,Daniel Moore,263-727-7320,Manager,San Francisco,167730.23,21080
